Title,Link,Competencies
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,['Knowledge Of Subject']
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,['Sales Skills']
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,['Sales Skills']
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,['Knowledge Of Subject']
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,['Knowledge Of Subject']
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,"['Knowledge Of Subject', 'Sales Skills']"
Css3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,['Knowledge Of Subject']
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,['Knowledge Of Subject']
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,"['Business Communication', 'Sales Skills']"
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,"['Business Communication', 'Problem Solving', 'Sales Skills']"
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,['Knowledge Of Subject']
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,['Sales Skills']
Data Entry Alphanumeric Split Screen - Us,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,['Knowledge Of Subject']
Data Entry Numeric Split Screen - Us,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,['Knowledge Of Subject']
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,['Knowledge Of Subject']
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,['Knowledge Of Subject']
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,['Knowledge Of Subject']
Dependability And Safety Instrument (Dsi),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,['Problem Solving']
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,['Knowledge Of Subject']
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,['Knowledge Of Subject']
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,['Knowledge Of Subject']
Digital Readiness Development Report - Ic,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,['Problem Solving']
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,['Problem Solving']
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,['Knowledge Of Subject']
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,['Knowledge Of Subject']
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,['Knowledge Of Subject']
Dsi V1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,['Problem Solving']
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,['Knowledge Of Subject']
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,['Knowledge Of Subject']
Electrical And Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,['Knowledge Of Subject']
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,['Knowledge Of Subject']
Electronics And Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,['Knowledge Of Subject']
Electronics And Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,['Knowledge Of Subject']
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,['Knowledge Of Subject']
Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,['Knowledge Of Subject']
Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/,['Problem Solving']
Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,['Problem Solving']
Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/,"['Critical Thinking', 'Problem Solving']"
Entry Level Customer Service (General) Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,"['Critical Thinking', 'Problem Solving']"
Entry Level Hotel Front Desk Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,"['Critical Thinking', 'Problem Solving']"
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,"['Critical Thinking', 'Problem Solving']"
Entry Level Technical Support Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/,"['Problem Solving', 'Critical Thinking']"
Etl Testing (New),https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/,['Knowledge Of Subject']
Executive Scenarios,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/,['Business Communication']
Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,['Business Communication']
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,['Business Communication']
Expressjs (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,['Knowledge Of Subject']
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,['Knowledge Of Subject']
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,['Knowledge Of Subject']
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,['Knowledge Of Subject']
Financial And Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,['Knowledge Of Subject']
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,['Knowledge Of Subject']
Following Instructions V1 - Uk (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,['Knowledge Of Subject']
Following Instructions V1 - Us (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,['Knowledge Of Subject']
Food And Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,['Knowledge Of Subject']
Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,['Knowledge Of Subject']
Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,['Knowledge Of Subject']
Fundamentals Of Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,['Knowledge Of Subject']
Fundamentals Of Physics (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/,['Knowledge Of Subject']
General Diseases (New),https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/,['Knowledge Of Subject']
Geoinformatics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,['Knowledge Of Subject']
Geoscience Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,['Knowledge Of Subject']
Git (New),https://www.shl.com/solutions/products/product-catalog/view/git-new/,['Knowledge Of Subject']
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,"['Critical Thinking', 'Knowledge Of Subject']"
Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/,['Business Communication']
Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,['Business Communication']
Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,['Business Communication']
Hibernate (New),https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,['Knowledge Of Subject']
Hipaa (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,['Knowledge Of Subject']
Hipo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,"['Critical Thinking', 'Problem Solving']"
Hipo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,"['Critical Thinking', 'Problem Solving']"
Hipo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,['Critical Thinking']
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,['Knowledge Of Subject']
Html/Css (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,['Knowledge Of Subject']
Html5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,['Knowledge Of Subject']
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,['Knowledge Of Subject']
Ibm Datastage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,['Knowledge Of Subject']
Ibm Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,['Knowledge Of Subject']
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,['Knowledge Of Subject']
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,['Knowledge Of Subject']
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,['Knowledge Of Subject']
Instrumentation Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/,['Knowledge Of Subject']
Interpersonal Communications,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,['Knowledge Of Subject']
Interviewing And Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,['Knowledge Of Subject']
Ios Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/,['Knowledge Of Subject']
Itil (It Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,['Knowledge Of Subject']
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,['Knowledge Of Subject']
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,['Knowledge Of Subject']
Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,['Knowledge Of Subject']
Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,['Knowledge Of Subject']
Java Platform Enterprise Edition 7 (Java Ee 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,['Knowledge Of Subject']
Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,['Knowledge Of Subject']
Javascript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,['Knowledge Of Subject']
Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,['Knowledge Of Subject']
Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,['Knowledge Of Subject']
Jquery (New),https://www.shl.com/solutions/products/product-catalog/view/jquery-new/,['Knowledge Of Subject']
Kubernetes (New),https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,['Knowledge Of Subject']
Linux Administration (New),https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,['Knowledge Of Subject']
Linux Operating System,https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/,['Knowledge Of Subject']
Linux Programming (General),https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/,['Knowledge Of Subject']
Load Runner (New),https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/,['Knowledge Of Subject']
Management Scenarios,https://www.shl.com/solutions/products/product-catalog/view/management-scenarios/,['Business Communication']
Managerial Scenarios Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,['Business Communication']
Managerial Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,['Business Communication']
Managerial Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,['Business Communication']
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,['Knowledge Of Subject']
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,['Knowledge Of Subject']
Maven (New),https://www.shl.com/solutions/products/product-catalog/view/maven-new/,['Knowledge Of Subject']
Mechanical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/,['Knowledge Of Subject']
Mechatronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/,['Knowledge Of Subject']
Medical Terminology (New),https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/,['Knowledge Of Subject']
Metallurgical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/,['Knowledge Of Subject']
Mfs 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,['Data Interpretation']
Mfs 360 Ucf Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,['Data Interpretation']
Mfs 360 Ucf Performance Potential Dev Tips Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,['Data Interpretation']
Mfs 360 Ucf Standard Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,['Data Interpretation']
Micro Focus Unified Functional Testing (New),https://www.shl.com/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,['Knowledge Of Subject']
Microservices (New),https://www.shl.com/solutions/products/product-catalog/view/microservices-new/,['Knowledge Of Subject']
